Customer_id,pl_score,hl_score,cl_score,twl_score,cc_score
1019613,1,2,8,0,7
1019884,3,0,4,9,2
1019970,5,9,3,4,10
1020030,1,1,8,3,6
1020089,1,7,5,8,1
1020120,3,0,2,2,5
1020178,7,4,0,5,7
1020231,1,6,4,1,1
1020421,7,2,0,9,6
1020601,1,1,1,10,8
1020624,5,0,2,5,9
1020645,1,9,0,8,9
1020716,3,2,5,9,10
1020724,1,3,10,9,4
1020878,3,9,10,6,10
1020896,5,4,8,4,10
1021147,1,4,4,1,0
1021221,6,2,4,7,0
1021271,5,1,0,10,0
1021344,4,5,5,9,0
1021443,9,4,5,0,3
1021529,9,8,1,0,0
1021566,3,6,8,3,3
1021593,5,9,0,4,8
1021623,6,10,1,10,8
1021770,5,7,3,1,2
1021819,8,0,0,3,9
1021948,4,2,7,6,0
1022022,1,0,4,10,5
1022159,8,2,10,10,0
1022168,3,1,10,6,9
1022180,5,3,5,6,0
1022290,6,3,7,2,8
1022406,1,9,9,10,4
1022415,5,4,1,2,9
1022424,4,0,4,10,8
1022477,5,4,10,2,10
1022838,5,9,2,3,6
1022890,3,0,10,4,0
1022958,5,2,6,8,10
1022997,5,2,6,9,5
1023023,3,1,2,5,10
1023091,1,4,5,10,0
1023099,6,6,5,8,4
1023191,3,7,8,5,9
1023254,1,9,4,2,8
1023257,1,0,7,5,6
1023320,4,2,0,5,9
1023380,8,6,5,6,1
1023515,6,1,4,0,2
1023672,1,5,8,10,9
1023984,1,2,7,6,8
1024013,1,4,3,2,0
1024067,7,5,5,3,9
1024074,4,0,0,10,4
1024078,8,6,5,8,9
1024296,6,0,5,5,8
1024368,10,6,8,0,4
1024399,3,3,10,6,0
1024462,5,10,2,5,6
1024573,4,2,8,6,7
1024658,6,2,1,3,9
1025189,10,0,6,0,0
1025228,5,5,2,1,8
1025401,3,3,6,10,0
1025498,5,4,5,7,2
1025588,4,9,8,7,10
1025644,5,10,5,4,8
1025684,1,5,9,7,4
1025796,5,9,3,7,6
1025854,1,9,2,8,7
1025863,4,1,10,2,1
1026044,5,7,7,3,7
1026084,7,10,10,5,3
1026306,5,7,10,10,4
1026322,1,2,5,9,10
1026428,6,1,3,4,3
1026623,3,5,9,6,9
1026664,4,5,5,6,1
1026866,5,8,9,0,1
1026906,6,1,9,1,4
1027135,4,7,2,5,1
1027366,5,5,0,2,9
1027626,5,9,2,3,8
1027659,1,10,10,1,9
1027690,5,10,9,3,3
1027770,4,8,9,10,9
1027776,4,1,2,7,6
1027826,1,0,10,9,6
1027834,5,6,3,2,0
1028170,1,0,5,1,10
1028212,4,7,7,10,6
1028220,6,2,10,0,2
1028319,7,7,8,8,10
1028431,3,6,5,4,7
1028490,4,2,1,1,3
1028520,6,7,8,0,8
1028717,3,1,9,5,4
1028999,6,10,2,1,9
1029045,5,8,0,7,10
1029292,5,5,8,7,5
1029372,3,3,10,1,1
1029570,1,7,6,7,2
1029870,3,0,4,4,9
1029934,7,2,8,0,0
1030006,3,6,5,9,7
1030094,5,4,2,9,2
1030315,5,3,7,7,10
1030743,5,7,0,5,10
1030819,3,0,7,3,10
1030958,1,7,6,3,6
1031020,1,9,4,1,7
1031069,6,4,5,2,6
1031078,4,3,5,9,0
1031119,7,2,6,9,7
1031304,10,10,1,5,5
1031551,4,4,0,6,2
1031647,5,0,3,0,1
1031716,4,7,6,3,9
1031771,8,2,8,6,7
1031809,7,10,5,9,9
1031905,6,6,9,4,5
1032123,5,0,8,7,1
1032146,6,8,0,5,6
1032247,1,8,9,5,10
1032293,6,0,8,3,4
1032323,5,9,7,7,9
1032347,1,2,0,10,1
1032486,5,0,2,10,8
1032647,1,7,10,6,1
1032663,5,7,7,0,1
1032691,1,6,9,0,9
1032752,4,1,9,5,0
1032878,1,2,1,10,10
1032910,6,0,5,5,10
1032998,10,1,1,6,1
1033116,4,9,1,4,7
1033243,4,7,4,2,3
1033458,6,9,4,0,10
1033534,6,7,3,7,7
1033549,5,6,4,2,10
1033571,3,4,6,4,8
1033574,6,10,9,3,5
1033623,3,2,8,8,8
1033667,5,8,1,8,2
1034030,1,4,0,10,6
1034073,1,10,9,5,10
1034099,5,1,6,7,6
1034257,10,8,8,4,10
1034297,1,7,8,8,5
1034301,1,6,10,9,10
1034359,3,10,2,6,3
1034567,8,8,5,2,10
1034613,1,8,10,4,3
1034692,4,3,4,2,8
1034918,4,10,3,5,7
1034940,9,6,7,10,10
1035035,8,1,6,9,7
1035040,1,4,10,9,7
1035095,5,0,3,7,1
1035146,4,6,1,8,7
1035398,1,10,9,8,9
1035668,5,1,6,6,9
1035717,3,0,1,1,1
1035954,1,8,10,1,1
1036123,4,9,3,4,8
1036331,1,5,8,1,4
1036343,5,4,4,3,6
1036395,1,10,0,7,2
1036532,4,3,4,7,7
1036566,5,1,6,3,3
1036780,4,10,10,4,2
1036952,4,10,0,6,6
1037068,5,0,5,0,2
1037147,1,1,4,1,6
1037166,3,8,3,0,0
1037302,3,4,5,2,4
1037599,6,4,7,0,1
1037959,5,7,1,10,7
1038074,3,1,9,10,10
1038082,8,7,1,3,0
1038098,3,3,6,10,7
1038228,5,9,4,10,2
1038238,1,2,3,8,7
1038601,1,2,2,3,10
1038635,1,10,10,9,3
1038643,5,4,2,0,0
1038732,6,8,2,8,5
1038789,6,2,6,10,3
1038967,5,8,9,9,9
1039033,5,6,6,4,0
1039221,9,3,6,1,7
1039228,1,7,10,7,0
1039255,3,6,10,0,5
1039304,3,0,8,5,7
1039308,5,10,7,8,8
1039446,1,9,3,4,6
1039536,4,9,6,0,4
1039544,6,8,3,4,3
1039610,1,1,10,6,7
1039740,5,2,5,9,7
1039805,1,2,3,7,2
1039813,3,5,5,4,8
1039844,5,6,2,9,3
1040068,5,6,4,2,8
1040089,4,4,5,8,2
1040093,5,5,6,0,4
1040268,8,3,4,10,4
1040286,1,1,3,7,0
1040294,7,4,2,4,10
1040300,7,6,10,1,7
1040346,1,10,2,10,6
1040388,4,1,10,8,5
1040440,9,1,9,1,6
1040441,5,7,0,9,7
1040497,1,2,7,0,6
1040563,1,10,5,10,7
1040726,6,8,10,4,0
1040813,6,1,4,4,5
1040879,5,6,2,8,1
1041105,4,0,2,10,8
1041259,6,5,1,6,0
1041277,3,3,1,6,5
1041380,5,1,3,2,0
1041495,3,4,4,2,4
1041636,9,7,2,1,5
1041683,1,10,2,10,4
1042059,4,6,8,10,1
1042145,5,9,9,5,3
1042158,4,10,4,7,8
1042193,1,9,8,4,6
1042463,4,7,1,3,4
1042483,5,5,0,2,1
1042516,5,1,0,4,9
1042553,1,1,0,1,1
1042638,8,0,8,5,7
1043038,3,4,2,3,5
1043118,1,2,9,0,10
1043172,5,5,2,2,1
1043204,1,8,6,8,4
1043220,5,5,4,10,5
1043375,4,3,2,9,1
1043411,10,2,1,4,2
1043469,5,6,7,5,5
1043554,6,8,8,9,9
1043629,5,10,10,1,7
1043815,4,2,3,3,2
1043892,5,10,2,6,4
1043973,8,9,7,2,1
1043991,3,1,2,1,7
1044060,3,4,0,6,5
1044070,1,9,9,2,3
1044093,6,2,8,10,1
1044122,5,5,4,1,10
1044465,3,4,0,10,3
1044578,1,9,2,7,1
1044684,5,7,5,3,9
1044798,9,8,10,3,9
1044875,1,0,7,9,3
1044906,1,1,4,2,6
1044919,5,7,7,10,2
1044948,4,10,5,1,0
1044999,3,3,9,2,3
1045046,3,6,4,6,6
1045093,1,9,3,7,4
1045103,1,6,0,9,0
1045174,10,6,0,4,10
1045627,10,5,5,9,2
1045734,3,7,9,0,1
1045850,1,10,5,2,5
1045987,5,4,6,1,3
1046032,5,4,8,9,10
1046228,5,6,10,8,10
1046247,6,8,7,7,6
1046275,3,3,10,7,10
1046333,1,9,1,3,8
1046431,10,10,6,2,7
1046504,6,4,8,7,2
1046506,9,9,4,8,7
1046555,9,9,9,1,7
1046603,3,9,0,2,8
1046606,3,3,10,9,6
1046621,6,4,5,0,9
1046661,3,0,2,3,1
1046681,5,8,10,8,2
1046908,1,6,4,8,10
1046956,4,4,1,10,0
1046966,6,1,4,2,2
1047168,3,9,4,5,2
1047186,1,0,5,7,9
1047406,5,2,2,10,6
1047476,5,5,4,4,8
1047500,4,7,3,7,10
1047509,6,7,6,2,5
1047523,6,7,3,0,5
1047742,5,0,9,9,9
1047887,5,4,6,1,9
1048217,6,8,0,5,7
1048494,1,10,3,9,5
1048511,5,8,4,10,4
1048702,9,10,6,10,4
1048764,5,7,5,10,6
1048859,4,1,1,0,7
1049097,9,0,8,5,8
1049198,1,8,5,7,9
1049485,1,5,10,7,6
1049786,5,5,4,1,9
1049815,1,0,10,4,7
1049891,4,6,8,4,2
1049913,5,5,3,2,2
1050003,3,8,2,6,9
1050008,10,9,7,9,4
1050014,5,4,5,8,0
1050037,6,9,4,2,7
1050038,1,5,3,7,3
1050111,10,0,5,1,6
1050206,5,0,9,7,10
1050316,1,2,1,5,2
1050418,3,6,0,5,3
1050456,5,9,0,0,3
1050465,1,3,9,2,2
1050568,1,3,3,10,10
1050624,6,2,8,8,2
1050718,1,5,10,7,0
1051025,5,10,5,2,3
1051092,1,3,1,1,9
1051107,5,3,2,6,1
1051111,1,4,9,0,7
1051215,6,4,0,3,6
1051328,6,7,3,7,2
1051663,1,3,2,2,9
1051687,5,3,3,7,0
1051810,6,1,8,7,1
1051919,4,2,1,5,10
1051952,10,2,10,3,5
1052100,3,8,10,8,9
1052190,5,8,8,6,9
1052390,9,10,4,2,10
1052414,5,3,1,6,1
1052470,6,7,10,8,10
1052588,9,7,6,10,9
1052979,6,5,8,5,4
1052991,1,5,2,4,0
1053022,4,0,0,2,10
1053101,4,10,9,1,6
1053152,1,2,4,8,9
1053169,5,9,9,7,10
1053188,3,1,3,0,0
1053195,1,2,1,9,10
1053315,4,0,9,8,6
1053316,5,8,10,2,8
1053420,6,9,10,1,10
1053541,5,8,0,3,4
1053832,5,9,5,7,10
1054046,1,7,2,4,5
1054365,4,10,3,7,4
1054407,5,6,6,6,5
1054503,5,7,1,2,1
1054606,8,8,5,9,8
1054761,5,2,6,5,10
1054784,1,1,8,2,10
1054791,7,5,5,0,0
1054811,10,9,6,7,7
1054836,3,8,5,4,2
1054845,5,4,6,5,7
1054860,1,6,2,6,5
1054861,4,10,9,2,3
1054862,3,10,10,10,2
1054964,1,9,4,1,0
1054984,8,6,0,8,1
1055038,1,9,2,1,7
1055043,5,2,2,6,8
1055049,4,5,5,2,4
1055074,1,2,7,6,5
1055203,1,1,6,10,9
1055375,5,3,10,5,8
1055473,5,10,6,3,7
1055628,4,0,9,9,5
1055683,3,3,10,10,3
1055695,1,8,9,9,0
1055803,3,4,9,8,2
1055854,4,3,9,4,3
1055916,1,6,3,0,2
1056071,6,8,1,4,4
1056146,5,5,2,10,6
1056205,5,5,10,3,6
1056215,1,2,10,2,3
1056223,5,1,10,3,4
1056262,5,5,4,5,6
1056285,6,6,9,9,4
1056749,4,5,8,5,2
1056768,5,7,0,4,1
1056789,9,7,5,7,5
1056811,1,7,7,4,10
1056902,7,7,7,3,3
1056957,9,6,1,5,5
1057000,5,5,8,4,7
1057001,8,4,1,1,5
1057116,1,1,0,10,8
1057151,4,7,10,1,4
1057162,3,0,8,1,1
1057212,5,5,6,6,6
1057388,4,6,5,4,9
1057403,1,4,2,9,10
1057474,6,5,5,3,3
1057612,1,6,3,7,4
1057693,6,5,2,7,3
1057882,10,7,5,1,3
1057893,7,9,7,8,6
1057976,4,1,9,10,7
1058005,5,0,2,8,8
1058043,5,0,8,8,6
1058077,1,5,5,10,2
1058087,3,0,9,3,3
1058317,9,10,7,0,0
1058380,1,0,3,9,8
1058382,1,6,7,8,9
1058465,5,8,5,0,3
1058526,1,2,8,5,3
1058641,5,2,8,5,3
1059014,10,10,4,6,4
1059053,6,7,2,3,9
1059142,7,7,6,5,6
1059189,5,5,5,0,8
1059384,4,0,0,2,6
1059422,1,2,4,2,2
1059840,1,1,8,6,6
1059854,1,2,9,7,6
1059904,1,9,5,4,6
1059943,1,5,8,10,1
1060131,8,6,0,0,0
1060140,5,9,4,0,1
1060632,5,0,1,6,4
1060644,1,10,2,0,5
1060795,1,8,4,2,6
1060855,5,10,1,4,3
1060860,1,0,10,10,10
1060865,5,3,6,6,2
1060974,7,0,4,8,0
1061048,10,6,10,6,2
1061052,5,1,6,5,1
1061055,6,10,6,5,10
1061170,5,6,1,9,7
1061327,1,8,9,3,2
1061392,7,3,0,2,4
1061485,5,0,7,8,5
1061616,4,8,5,0,5
1062001,1,6,7,3,5
1062185,4,7,5,3,3
1062485,4,4,7,4,2
1062567,3,3,9,1,3
1062674,6,4,2,2,9
1062731,5,5,3,10,8
1062809,6,4,4,10,5
1062819,4,0,4,3,5
1062962,1,2,4,1,6
1063015,1,5,10,3,1
1063024,5,1,5,8,10
1063158,3,6,2,5,2
1063166,10,8,9,2,9
1063266,4,6,1,0,5
1063327,5,0,3,4,9
1063332,5,3,3,4,1
1063455,1,3,10,7,0
1063491,6,4,3,10,5
1063683,4,2,8,1,10
1063714,3,10,7,2,8
1063871,1,10,6,6,0
1063878,5,9,2,3,6
1063908,3,5,10,1,4
1063935,1,10,4,1,8
1064124,1,0,8,3,10
1064151,1,6,9,4,10
1064251,4,8,6,5,8
1064312,3,9,5,5,9
1064444,4,3,5,4,0
1064666,5,8,4,4,7
1064808,1,6,3,8,1
1064893,1,10,2,2,9
1065069,1,0,0,2,6
1065147,1,6,2,9,4
1065246,5,9,5,10,9
1065384,1,8,10,8,5
1065739,8,7,1,0,0
1065808,6,9,0,2,5
1065886,5,2,2,8,4
1065913,1,3,8,3,4
1066103,4,9,10,5,2
1066109,1,6,1,8,10
1066223,3,4,5,2,7
1066267,6,9,4,4,7
1066371,5,7,1,7,5
1066457,3,8,2,0,2
1066585,10,9,3,0,6
1066708,5,6,8,5,2
1066899,4,2,7,5,0
1066930,1,4,4,1,8
1067103,5,6,2,5,3
1067113,3,9,7,4,8
1067231,10,1,5,8,10
1067472,9,1,8,8,2
1067574,4,2,0,2,9
1067793,1,0,7,3,0
1067797,5,4,7,8,10
1067867,5,2,3,0,10
1067885,6,5,2,2,4
1067895,1,10,4,1,0
1067900,5,1,2,10,6
1068058,10,8,6,8,6
1068094,8,2,8,8,8
1068131,1,3,9,0,0
1068282,5,3,9,9,6
1068320,1,8,0,6,10
1068326,5,7,10,4,9
1068354,4,0,2,0,7
1068413,1,5,7,9,3
1068424,5,0,6,1,9
1068723,1,0,8,4,2
1068742,5,8,2,8,8
1068760,5,10,8,2,10
1068853,6,9,5,0,9
1069018,4,6,1,9,10
1069200,3,1,4,2,5
1069257,4,1,5,5,9
1069415,1,10,9,0,5
1069455,9,1,1,0,9
1069490,5,2,9,3,0
1069505,1,10,2,5,8
1069599,3,9,7,3,4
1069867,10,6,9,4,7
1069921,7,4,8,9,1
1070117,6,5,0,10,8
1070239,1,8,4,10,5
1070368,3,1,1,7,6
1070378,6,3,7,9,10
1070407,1,6,3,4,8
1070434,1,1,0,2,2
1070525,3,7,9,6,4
1070607,3,1,3,6,3
1070648,1,5,5,4,5
1070698,3,9,1,4,7
1070724,6,10,3,7,0
1070829,5,3,6,4,9
1070850,8,1,6,10,8
1071080,9,4,7,0,10
1071238,3,5,8,2,9
1071270,1,2,7,7,5
1071411,4,3,5,10,9
1071414,5,2,8,1,2
1071674,4,4,8,3,0
1071716,4,10,5,4,2
1071755,6,5,10,10,3
1071796,5,9,4,1,8
1071849,1,8,1,9,10
1071852,3,8,2,7,0
1072022,1,3,0,8,2
1072092,8,3,10,0,0
1072106,1,4,9,6,6
1072178,1,7,4,2,10
1072300,10,5,8,2,9
1072320,3,2,5,0,5
1072383,5,6,9,10,1
1072407,6,2,0,0,1
1072619,10,1,1,9,5
1072698,6,6,7,5,9
1072785,6,2,6,10,0
1072922,5,4,0,8,10
1072923,5,8,7,9,2
1073043,6,8,5,6,10
1073092,4,5,1,8,0
1073200,5,3,2,1,4
1073327,1,3,5,5,2
1073381,5,8,7,5,3
1073417,1,7,8,1,4
1073457,5,2,6,7,2
1073553,9,7,10,10,2
1073596,1,7,8,3,8
1073631,4,6,2,10,5
1073728,1,1,1,9,1
1073887,6,1,6,1,7
1073938,6,1,8,2,4
1073992,10,6,7,7,4
1074005,5,6,5,4,6
1074088,4,6,8,2,7
1074117,4,10,9,7,4
1074310,4,0,0,8,10
1074313,5,0,3,5,2
1074456,5,8,10,7,8
1074466,1,6,5,8,0
1074585,1,4,10,10,6
1074716,5,2,1,7,0
1074732,6,5,6,1,10
1074743,4,9,0,10,4
1074782,1,0,1,10,1
1074789,3,2,5,3,8
1074835,10,7,7,4,1
1074843,1,6,4,8,10
1074876,5,10,2,8,8
1075020,4,7,4,4,4
1075042,5,9,6,3,7
1075122,7,8,7,0,7
1075577,5,5,10,10,4
1075629,1,2,4,5,5
1075692,6,6,10,9,8
1075781,10,5,7,3,9
1075800,5,1,5,7,5
1075801,4,8,3,5,0
1075816,10,3,6,8,0
1075917,7,1,6,9,6
1076019,10,7,10,10,8
1076059,1,10,8,10,1
1076092,6,3,1,0,5
1076168,1,1,8,3,2
1076169,1,9,8,0,0
1076209,5,4,8,7,0
1076454,1,7,0,10,5
1076647,1,2,8,10,7
1076681,5,4,10,6,2
1076829,5,3,9,7,2
1076894,5,8,3,9,6
1076999,5,5,8,5,3
1077135,4,5,4,9,2
1077162,8,6,2,9,8
1077340,5,1,4,10,5
1077614,8,4,2,2,2
1077624,1,1,5,4,3
1077692,1,6,4,9,2
1078356,4,5,8,0,3
1078694,4,1,1,0,4
1078743,5,4,6,2,2
1078858,5,2,0,10,2
1078909,5,5,10,1,8
1078952,1,1,8,2,5
1078983,1,1,0,10,1
1079046,3,6,5,10,3
1079119,1,3,5,1,0
1079193,1,4,6,8,2
1079250,4,9,9,3,0
1079339,4,10,8,6,6
1079368,4,6,9,1,7
1079456,1,8,4,6,6
1079472,5,0,6,7,4
1079500,5,7,3,2,7
1079509,1,2,5,4,7
1079698,6,6,0,0,10
1079716,1,5,6,0,0
1079760,5,4,5,10,8
1080012,5,3,6,4,1
1080036,1,9,2,2,6
1080075,5,4,7,9,4
1080436,3,10,8,0,4
1080451,4,9,4,2,0
1080452,7,8,8,3,2
1080560,6,5,1,9,7
1080588,1,10,0,8,4
1080650,4,8,9,7,7
1080654,1,6,10,2,1
1080657,7,0,7,10,0
1080747,4,6,10,5,3
1080838,5,0,1,8,6
1080921,3,2,1,1,4
1080959,1,7,4,3,2
1081181,5,7,0,7,1
1081234,4,8,2,8,4
1081327,6,0,2,0,9
1081633,1,1,3,1,3
1081785,3,1,2,2,10
1081801,4,7,1,0,9
1081955,8,1,7,1,10
1082033,6,3,10,5,9
1082198,1,6,7,3,10
1082250,5,6,2,5,9
1082263,8,3,9,7,9
1082283,4,6,10,4,4
1082502,7,3,2,10,2
1082537,5,5,9,0,4
1082608,5,9,2,5,7
1082623,1,5,1,1,6
1082728,1,2,10,5,0
1082752,4,6,1,10,10
1083096,1,0,8,8,1
1083115,4,9,1,6,0
1083232,6,0,3,1,7
1083430,5,6,10,8,7
1083516,4,9,0,10,6
1083519,5,1,5,10,3
1083574,4,10,8,0,2
1083614,1,6,2,8,5
1083615,5,10,7,4,9
1083654,8,10,5,1,9
1083718,5,6,7,7,1
1083933,1,7,6,5,4
1083974,1,8,10,2,2
1084020,1,3,2,8,1
1084033,1,0,1,1,6
1084333,5,1,9,9,4
1084389,9,3,7,2,2
1084517,3,4,3,6,5
1084665,8,3,0,5,9
1084910,7,6,7,7,1
1084913,5,2,2,5,8
1084995,1,7,3,9,4
1085214,1,8,9,9,9
1085248,3,3,6,4,9
1085392,5,4,8,1,3
1085455,1,5,1,8,3
1085527,1,5,3,8,2
1085567,1,3,0,2,1
1085795,1,7,4,8,6
1085856,5,10,6,8,3
1085949,1,9,1,2,5
1086196,5,6,0,2,0
1086219,4,8,6,5,9
1086240,7,3,3,4,0
1086281,6,3,6,4,6
1086377,7,7,1,7,4
1086397,5,3,7,3,9
1086427,4,0,2,2,6
1086464,1,5,10,4,8
1086799,3,6,3,5,7
1086904,5,3,1,7,0
1086954,6,5,6,2,8
1087081,1,6,0,8,3
1087101,1,5,10,3,5
1087185,5,3,9,4,10
1087289,4,10,9,0,1
1087347,5,8,0,6,8
1087418,6,1,9,6,3
1087601,6,8,6,6,1
1087607,1,0,9,3,8
1087648,1,5,3,0,3
1087689,10,5,7,3,10
1087769,4,4,9,1,8
1088134,5,0,3,10,0
1088149,5,9,9,1,5
1088334,6,8,2,1,3
1088500,5,8,5,10,3
1088617,4,3,7,10,1
1088622,5,7,3,9,3
1088710,4,9,10,3,3
1088753,5,4,8,2,3
1088803,5,3,0,2,10
1089020,4,4,4,3,8
1089025,4,10,3,6,10
1089064,8,4,3,7,10
1089262,10,7,8,1,1
1089325,1,6,4,1,3
1089782,8,3,0,2,3
1089813,9,0,3,9,9
1089830,10,6,4,3,8
1089899,1,5,6,1,10
1089932,1,8,6,6,2
1090070,1,5,3,7,9
1090098,6,9,6,0,7
1090224,9,2,5,8,9
1090270,3,3,4,3,6
1090484,5,4,3,7,3
1090529,9,1,10,8,1
1090548,5,10,6,5,9
1090597,5,9,10,9,9
1090822,5,0,8,4,6
1090857,1,6,0,10,3
1090947,3,5,10,8,3
1091002,4,0,2,10,7
1091132,3,4,0,3,6
1091148,1,9,10,7,6
1091327,5,1,7,8,2
1091435,1,10,8,9,5
1091450,4,9,9,7,7
1091491,5,3,10,0,1
1091545,1,3,3,8,9
1091625,8,4,2,0,10
1091742,6,1,4,10,7
1091748,5,3,8,0,3
