Age,Gender,Income,Expenses,Company,Experience,Eligibility
40,m,87371,55043.73,Rank 1,20,yes
47,f,76166,60171.14,Rank 3,27,no
53,m,36698,23119.74,Rank 3,33,no
65,m,106367,76584.24,Rank 3,45,no
30,m,60743,33408.65,Rank 1,10,yes
24,m,47258,46312.84,Rank 1,4,no
64,f,45169,23939.57,Rank 1,44,yes
54,m,84680,82139.6,Rank 1,34,no
47,m,104187,78140.25,Rank 1,27,yes
32,m,91958,86440.52,Rank 3,12,yes
22,f,31795,30205.25,Rank 2,2,no
35,f,61756,59903.32,Rank 3,15,no
38,f,43611,27911.04,Rank 3,18,yes
20,f,45415,35423.7,Rank 1,0,no
37,m,78332,53265.76,Rank 1,17,yes
44,f,76450,48928,Rank 3,24,yes
58,m,98436,55124.16,Rank 2,38,no
20,m,41232,29687.04,Rank 3,0,no
40,m,57182,38311.94,Rank 1,20,yes
32,f,76086,69238.26,Rank 3,12,yes
44,f,66301,54366.82,Rank 3,24,yes
35,f,97615,76139.7,Rank 2,15,yes
20,m,43768,41579.6,Rank 2,0,no
21,m,48502,44621.84,Rank 3,1,no
26,m,42526,22538.78,Rank 3,6,yes
35,m,89781,47583.93,Rank 3,15,yes
34,m,55685,54571.3,Rank 1,14,no
47,f,78950,56054.5,Rank 2,27,no
49,m,123079,98463.2,Rank 2,29,no
48,f,115785,68313.15,Rank 3,28,no
34,m,31188,22143.48,Rank 1,14,yes
39,m,90631,50753.36,Rank 1,19,yes
22,m,19983,14587.59,Rank 1,2,no
26,f,95087,51346.98,Rank 3,6,yes
27,m,45422,40425.58,Rank 3,7,no
39,m,28215,18904.05,Rank 3,19,yes
65,f,70860,49602,Rank 2,45,no
40,m,36809,24293.94,Rank 1,20,yes
55,f,57476,52303.16,Rank 1,35,yes
45,f,93566,71110.16,Rank 3,25,yes
26,m,49909,35435.39,Rank 2,6,yes
40,f,95742,74678.76,Rank 2,20,yes
46,m,46083,42857.19,Rank 1,26,no
36,m,69036,34518,Rank 3,16,yes
22,f,34924,31780.84,Rank 2,2,no
60,m,102431,100382.38,Rank 2,40,no
37,f,54119,44918.77,Rank 2,17,yes
31,f,62576,45054.72,Rank 2,11,yes
56,m,143277,121785.45,Rank 3,36,no
21,f,48566,27682.62,Rank 3,1,no
65,m,95606,65012.08,Rank 2,45,no
49,m,111069,73305.54,Rank 2,29,no
43,f,87504,62127.84,Rank 2,23,yes
21,m,39153,38761.47,Rank 3,1,no
62,f,53986,31851.74,Rank 3,42,no
39,f,70818,67985.28,Rank 3,19,no
37,f,57902,38215.32,Rank 3,17,yes
65,f,63716,55432.92,Rank 2,45,no
31,f,30829,18497.4,Rank 1,11,yes
37,f,93879,73225.62,Rank 2,17,yes
30,f,60097,40865.96,Rank 3,10,yes
63,m,138820,108279.6,Rank 3,43,no
37,m,77150,47833,Rank 1,17,yes
29,m,79659,74879.46,Rank 1,9,no
23,m,33841,16920.5,Rank 3,3,no
22,m,40240,35008.8,Rank 3,2,no
27,f,39854,25506.56,Rank 2,7,yes
20,m,33832,23344.08,Rank 2,0,no
40,m,27920,17868.8,Rank 1,20,yes
23,f,29827,26247.76,Rank 1,3,no
32,m,44584,26304.56,Rank 3,12,yes
45,f,114863,68917.8,Rank 3,25,yes
23,f,21804,18315.36,Rank 1,3,no
60,m,87672,84165.12,Rank 1,40,no
34,f,31577,26524.68,Rank 3,14,yes
59,m,63817,46586.41,Rank 1,39,yes
48,f,65304,55508.4,Rank 3,28,no
23,m,33844,23352.36,Rank 3,3,no
25,m,68050,34025,Rank 1,5,yes
54,m,125452,100361.6,Rank 1,34,yes
37,f,62182,31712.82,Rank 2,17,yes
63,m,82178,50950.36,Rank 2,43,no
24,f,39369,31495.2,Rank 2,4,no
58,f,146364,106845.72,Rank 3,38,no
21,f,35046,22429.44,Rank 1,1,no
23,m,41514,28644.66,Rank 2,3,no
36,m,78070,62456,Rank 1,16,yes
41,m,58332,48415.56,Rank 3,21,yes
40,m,30920,20407.2,Rank 1,20,yes
25,m,94260,89547,Rank 3,5,no
20,f,26187,19116.51,Rank 1,0,no
57,m,72360,59335.2,Rank 3,37,no
55,m,73497,58797.6,Rank 1,35,yes
51,m,147597,110697.75,Rank 2,31,no
25,f,50390,42327.6,Rank 3,5,no
21,m,24079,12761.87,Rank 1,1,no
40,f,85700,78844,Rank 3,20,yes
36,m,28519,19678.11,Rank 3,16,yes
42,f,79989,55192.41,Rank 3,22,yes
64,f,98515,92604.1,Rank 2,44,no
22,f,46174,34168.76,Rank 1,2,yes
52,f,56830,45464,Rank 1,32,yes
42,f,65907,44816.76,Rank 3,22,yes
45,m,63930,41554.5,Rank 2,25,yes
34,f,32700,21909,Rank 2,14,yes
55,m,37698,37321.02,Rank 3,35,no
30,f,89726,73575.32,Rank 2,10,yes
62,m,94158,80034.3,Rank 2,42,no
65,f,76756,39145.56,Rank 3,45,no
48,m,130482,122653.08,Rank 1,28,yes
52,f,93470,67298.4,Rank 1,32,yes
21,m,32101,26964.84,Rank 2,1,no
54,m,96534,77227.2,Rank 2,34,no
42,m,78279,50881.35,Rank 1,22,yes
22,m,29570,20699,Rank 2,2,no
38,m,98041,88236.9,Rank 3,18,yes
65,f,91263,69359.88,Rank 3,45,no
51,m,135233,78435.14,Rank 3,31,no
39,f,31325,18168.5,Rank 3,19,yes
36,m,99536,58726.24,Rank 2,16,yes
37,m,92544,86065.92,Rank 3,17,yes
41,f,89262,77657.94,Rank 2,21,yes
28,m,92820,61261.2,Rank 3,8,yes
45,f,100401,74296.74,Rank 3,25,yes
46,f,66969,47547.99,Rank 1,26,yes
59,f,143984,87830.24,Rank 2,39,no
41,m,28880,16750.4,Rank 1,21,yes
63,f,109098,105825.06,Rank 2,43,no
26,f,68008,39444.64,Rank 2,6,yes
64,m,141286,77707.3,Rank 1,44,yes
21,m,20098,12460.76,Rank 3,1,no
20,f,40574,31647.72,Rank 2,0,no
22,m,39847,29088.31,Rank 3,2,no
37,m,69384,69384,Rank 3,17,no
23,f,41429,32728.91,Rank 2,3,no
37,f,51133,41417.73,Rank 1,17,yes
22,m,32975,27699,Rank 3,2,no
62,f,130112,78067.2,Rank 1,42,yes
56,f,96321,87652.11,Rank 1,36,yes
43,m,50978,32116.14,Rank 1,23,yes
32,m,70225,41432.75,Rank 1,12,yes
27,f,57128,38847.04,Rank 3,7,yes
32,f,77753,76197.94,Rank 1,12,no
48,f,133594,128250.24,Rank 3,28,no
43,m,43907,28100.48,Rank 3,23,yes
42,f,76128,51767.04,Rank 3,22,yes
45,f,54394,50042.48,Rank 3,25,no
36,m,33933,21377.79,Rank 3,16,yes
33,f,41891,39796.45,Rank 3,13,no
57,m,147913,94664.32,Rank 2,37,no
49,m,93210,78296.4,Rank 2,29,no
55,f,78734,77946.66,Rank 3,35,no
27,f,54454,45196.82,Rank 2,7,yes
39,f,29026,14513,Rank 3,19,yes
39,m,79907,46346.06,Rank 3,19,yes
58,m,126544,77191.84,Rank 1,38,yes
41,f,88075,70460,Rank 2,21,yes
27,f,65389,47080.08,Rank 2,7,yes
21,f,27697,15510.32,Rank 3,1,no
65,m,106444,90477.4,Rank 1,45,yes
31,f,31795,22892.4,Rank 1,11,yes
43,f,33497,23447.9,Rank 3,23,yes
35,m,44071,30849.7,Rank 1,15,yes
20,m,31764,29858.16,Rank 2,0,no
65,f,49871,25932.92,Rank 1,45,yes
31,m,97198,75814.44,Rank 2,11,yes
45,m,111344,109117.12,Rank 3,25,no
48,f,125199,92647.26,Rank 3,28,no
36,f,84643,46553.65,Rank 3,16,yes
42,m,44188,33141,Rank 1,22,yes
60,m,60385,47100.3,Rank 2,40,no
57,m,105111,57811.05,Rank 2,37,no
52,m,103761,90272.07,Rank 3,32,no
58,f,119250,85860,Rank 3,38,no
38,m,63838,52985.54,Rank 3,18,yes
35,m,66822,44102.52,Rank 3,15,yes
43,f,73900,57642,Rank 1,23,yes
52,f,99510,88563.9,Rank 2,32,no
36,f,60486,38711.04,Rank 1,16,yes
39,m,93370,50419.8,Rank 3,19,yes
21,f,45800,43968,Rank 3,1,no
24,m,30362,17002.72,Rank 2,4,no
24,f,31491,28026.99,Rank 3,4,no
63,m,68929,66861.13,Rank 2,43,no
24,f,39845,29485.3,Rank 3,4,no
60,m,73375,49161.25,Rank 3,40,no
42,f,74242,51969.4,Rank 3,22,yes
21,m,45807,38019.81,Rank 2,1,no
37,m,49858,27920.48,Rank 3,17,yes
41,f,79599,78007.02,Rank 3,21,no
23,m,23315,16553.65,Rank 1,3,no
30,m,66988,45551.84,Rank 3,10,yes
25,f,46796,29949.44,Rank 3,5,no
53,f,73314,57918.06,Rank 2,33,no
32,m,30279,21195.3,Rank 3,12,yes
30,f,50850,37629,Rank 2,10,yes
31,m,45447,28631.61,Rank 3,11,yes
35,m,47909,29703.58,Rank 2,15,yes
24,m,44575,38780.25,Rank 2,4,no
31,m,41153,37860.76,Rank 3,11,no
26,m,54646,49727.86,Rank 1,6,no
35,f,80078,71269.42,Rank 1,15,yes
21,f,26485,16420.7,Rank 1,1,no
37,f,43883,37739.38,Rank 1,17,yes
43,f,34662,23916.78,Rank 3,23,yes
23,f,15958,15798.42,Rank 2,3,no
43,m,40413,30713.88,Rank 1,23,yes
43,f,75114,69104.88,Rank 3,23,yes
25,f,79883,67900.55,Rank 2,5,no
64,m,147497,140122.15,Rank 3,44,no
33,f,58404,29786.04,Rank 3,13,yes
54,f,104658,91052.46,Rank 3,34,no
40,m,74038,60711.16,Rank 3,20,yes
32,m,65192,54761.28,Rank 2,12,yes
21,f,25922,13220.22,Rank 3,1,no
51,m,121703,90060.22,Rank 2,31,no
50,m,69534,63275.94,Rank 1,30,yes
51,m,114777,106742.61,Rank 3,31,no
53,m,102402,72705.42,Rank 2,33,no
48,f,46727,31774.36,Rank 2,28,no
40,m,74411,45390.71,Rank 3,20,yes
30,m,92620,63907.8,Rank 2,10,yes
65,f,104144,98936.8,Rank 2,45,no
61,m,101134,62703.08,Rank 1,41,yes
43,f,71004,47572.68,Rank 1,23,yes
40,m,90177,86569.92,Rank 2,20,no
26,f,72234,59231.88,Rank 1,6,yes
20,f,45430,34981.1,Rank 3,0,no
61,f,41303,33042.4,Rank 3,41,no
24,f,18149,10526.42,Rank 3,4,no
34,f,33710,30676.1,Rank 1,14,no
39,f,46909,41279.92,Rank 3,19,yes
49,m,67978,65258.88,Rank 2,29,no
40,f,25572,16366.08,Rank 3,20,yes
51,f,111914,77220.66,Rank 1,31,yes
22,f,17138,10968.32,Rank 2,2,no
48,m,123922,66917.88,Rank 2,28,no
45,m,143906,128076.34,Rank 1,25,yes
28,m,25764,19838.28,Rank 1,8,yes
25,m,93344,64407.36,Rank 1,5,yes
48,f,117402,111531.9,Rank 1,28,yes
23,m,20902,17766.7,Rank 3,3,no
50,m,91226,72068.54,Rank 1,30,yes
50,f,142725,79926,Rank 2,30,no
56,f,86007,74826.09,Rank 1,36,yes
56,m,96385,68433.35,Rank 1,36,yes
20,f,29122,26501.02,Rank 2,0,no
41,m,53484,42252.36,Rank 2,21,yes
26,f,98824,89929.84,Rank 3,6,yes
47,f,149758,122801.56,Rank 2,27,no
22,f,25109,19082.84,Rank 2,2,no
23,m,18638,16215.06,Rank 3,3,no
23,f,17491,10494.6,Rank 3,3,no
58,m,138683,85983.46,Rank 1,38,yes
62,f,88547,85890.59,Rank 2,42,no
61,m,88904,48897.2,Rank 1,41,yes
63,m,122724,94497.48,Rank 1,43,yes
20,m,46828,31374.76,Rank 2,0,no
34,f,88720,80735.2,Rank 2,14,yes
21,f,47263,41118.81,Rank 2,1,no
31,m,57079,30822.66,Rank 3,11,yes
64,f,80258,65008.98,Rank 3,44,no
33,m,42982,37824.16,Rank 3,13,yes
22,f,32147,22502.9,Rank 3,2,no
41,m,94801,60672.64,Rank 3,21,yes
50,f,84028,78146.04,Rank 3,30,no
37,m,35717,29287.94,Rank 3,17,yes
41,m,73787,47223.68,Rank 3,21,yes
63,m,120155,90116.25,Rank 2,43,no
22,f,28792,17563.12,Rank 2,2,no
34,f,37251,29428.29,Rank 2,14,yes
34,f,71105,60439.25,Rank 1,14,yes
32,f,94794,93846.06,Rank 1,12,no
54,f,39472,35130.08,Rank 3,34,no
60,m,80675,74221,Rank 3,40,no
38,f,68789,50903.86,Rank 3,18,yes
49,f,70100,55379,Rank 3,29,no
31,f,91560,46695.6,Rank 3,11,yes
24,m,28470,14804.4,Rank 3,4,no
39,f,90317,85801.15,Rank 1,19,no
50,f,119551,89663.25,Rank 1,30,yes
23,f,36423,35330.31,Rank 1,3,no
47,m,136990,87673.6,Rank 2,27,no
29,m,72641,41405.37,Rank 2,9,yes
28,m,63116,41656.56,Rank 3,8,yes
55,f,64801,45360.7,Rank 3,35,no
49,m,108857,70757.05,Rank 3,29,no
28,f,92332,63709.08,Rank 2,8,yes
50,m,131495,84156.8,Rank 2,30,no
57,f,128839,94052.47,Rank 2,37,no
55,f,133361,80016.6,Rank 2,35,no
61,m,149289,116445.42,Rank 3,41,no
50,m,116186,112700.42,Rank 2,30,no
65,f,125304,116532.72,Rank 1,45,yes
23,m,46917,29088.54,Rank 1,3,yes
31,f,68870,41322,Rank 2,11,yes
58,f,122556,83338.08,Rank 1,38,yes
58,m,36163,35801.37,Rank 1,38,no
60,m,117429,99814.65,Rank 2,40,no
31,m,75506,71730.7,Rank 3,11,no
57,m,76245,75482.55,Rank 2,37,no
33,m,68215,47068.35,Rank 2,13,yes
50,m,76306,51125.02,Rank 2,30,no
26,f,53467,28872.18,Rank 2,6,yes
58,f,121573,92395.48,Rank 1,38,yes
23,m,32227,20947.55,Rank 3,3,no
42,m,74458,45419.38,Rank 3,22,yes
28,m,64768,47280.64,Rank 2,8,yes
40,m,67100,59048,Rank 1,20,yes
23,f,23765,21626.15,Rank 3,3,no
39,f,31950,20448,Rank 2,19,yes
20,f,25990,20792,Rank 3,0,no
42,f,72718,55265.68,Rank 1,22,yes
65,f,86211,54312.93,Rank 2,45,no
33,m,31219,24663.01,Rank 3,13,yes
31,f,45797,22898.5,Rank 1,11,yes
23,m,38390,27640.8,Rank 2,3,no
61,f,123619,102603.77,Rank 3,41,no
38,m,85294,51176.4,Rank 2,18,yes
23,f,19186,14581.36,Rank 3,3,no
59,m,112548,95665.8,Rank 2,39,no
50,m,96651,87952.41,Rank 1,30,yes
40,f,86008,61065.68,Rank 2,20,yes
29,m,54461,51193.34,Rank 1,9,no
61,m,107932,64759.2,Rank 3,41,no
57,m,138131,132605.76,Rank 1,37,yes
62,f,36806,35701.82,Rank 2,42,no
26,f,75945,74426.1,Rank 2,6,no
52,f,51796,35221.28,Rank 1,32,yes
64,m,73879,67968.68,Rank 1,44,yes
28,f,82106,77179.64,Rank 1,8,no
31,m,84114,56356.38,Rank 3,11,yes
49,f,64080,52545.6,Rank 3,29,no
20,m,41345,24393.55,Rank 2,0,no
32,m,33167,23548.57,Rank 3,12,yes
29,m,89868,58414.2,Rank 2,9,yes
48,m,71669,51601.68,Rank 3,28,no
23,m,25271,15668.02,Rank 2,3,no
20,m,26369,13448.19,Rank 2,0,no
65,f,39314,35775.74,Rank 3,45,no
52,f,43355,24712.35,Rank 2,32,no
30,f,99635,50813.85,Rank 2,10,yes
41,m,25222,17907.62,Rank 2,21,yes
32,m,38897,28394.81,Rank 3,12,yes
24,m,48240,40039.2,Rank 1,4,no
58,m,90760,45380,Rank 3,38,no
31,m,64334,55970.58,Rank 2,11,yes
24,m,17238,16203.72,Rank 2,4,no
47,f,97193,85529.84,Rank 3,27,no
49,f,51274,26149.74,Rank 2,29,no
58,f,132056,80554.16,Rank 1,38,yes
23,m,28763,28763,Rank 2,3,no
23,f,39045,36311.85,Rank 2,3,no
39,f,96536,67575.2,Rank 3,19,yes
27,m,77534,66679.24,Rank 2,7,yes
53,f,95079,53244.24,Rank 3,33,no
39,f,71203,53402.25,Rank 2,19,yes
46,f,128353,87280.04,Rank 3,26,no
26,m,78433,47844.13,Rank 2,6,yes
31,f,78369,73666.86,Rank 3,11,no
38,f,90686,49877.3,Rank 1,18,yes
58,m,80045,63235.55,Rank 3,38,no
30,f,97428,90608.04,Rank 3,10,yes
27,m,40724,39095.04,Rank 1,7,no
28,m,81935,54896.45,Rank 2,8,yes
49,m,136037,99307.01,Rank 3,29,no
20,m,18761,12382.26,Rank 2,0,no
30,m,26918,16150.8,Rank 2,10,yes
49,m,96884,87195.6,Rank 1,29,yes
61,m,99718,86754.66,Rank 1,41,yes
30,f,62313,54835.44,Rank 2,10,yes
24,f,33926,20694.86,Rank 3,4,no
47,m,76090,69241.9,Rank 2,27,no
45,m,75419,42988.83,Rank 3,25,yes
20,f,31081,17094.55,Rank 2,0,no
32,f,87898,49222.88,Rank 3,12,yes
52,m,63479,59035.47,Rank 2,32,no
44,f,92852,90994.96,Rank 2,24,no
22,m,19569,13111.23,Rank 1,2,no
33,f,70954,47539.18,Rank 2,13,yes
26,m,59122,30152.22,Rank 2,6,yes
48,m,83807,51122.27,Rank 3,28,no
37,f,57280,41814.4,Rank 2,17,yes
33,f,89906,53044.54,Rank 3,13,yes
33,m,94187,61221.55,Rank 3,13,yes
47,f,127624,72745.68,Rank 1,27,yes
44,f,70945,48952.05,Rank 2,24,yes
45,m,88883,49774.48,Rank 3,25,yes
20,m,38833,31454.73,Rank 2,0,no
43,m,64738,56969.44,Rank 2,23,yes
29,f,81256,60129.44,Rank 3,9,yes
51,m,136132,102099,Rank 3,31,no
51,m,140513,85712.93,Rank 1,31,yes
30,m,65219,63262.43,Rank 1,10,no
65,m,70239,36524.28,Rank 2,45,no
62,f,60677,35192.66,Rank 2,42,no
38,f,58152,54662.88,Rank 2,18,no
34,m,80240,69006.4,Rank 3,14,yes
49,f,81368,40684,Rank 3,29,no
43,m,47053,28702.33,Rank 2,23,yes
54,f,118562,90107.12,Rank 3,34,no
42,f,76324,55716.52,Rank 1,22,yes
37,m,74607,38049.57,Rank 1,17,yes
38,f,79973,67177.32,Rank 3,18,yes
47,m,82632,64452.96,Rank 3,27,no
25,f,98875,92942.5,Rank 1,5,no
60,f,105407,80109.32,Rank 1,40,yes
54,f,116259,58129.5,Rank 1,34,yes
26,m,88316,86549.68,Rank 3,6,no
59,f,109072,85076.16,Rank 3,39,no
56,m,121820,82837.6,Rank 2,36,no
61,f,51846,49772.16,Rank 2,41,no
33,f,88867,77314.29,Rank 1,13,yes
24,f,39688,23812.8,Rank 3,4,no
27,f,79252,42003.56,Rank 1,7,yes
42,f,50338,37250.12,Rank 1,22,yes
34,f,45459,40913.1,Rank 1,14,no
50,f,138237,84324.57,Rank 1,30,yes
23,m,26285,19450.9,Rank 1,3,no
49,m,140173,130360.89,Rank 3,29,no
32,m,60048,38430.72,Rank 1,12,yes
21,m,38837,37283.52,Rank 3,1,no
22,m,31101,27057.87,Rank 1,2,no
36,m,56249,34874.38,Rank 1,16,yes
36,m,30096,22572,Rank 3,16,yes
51,m,46820,33242.2,Rank 1,31,yes
33,f,38192,26734.4,Rank 3,13,yes
42,m,79611,77222.67,Rank 3,22,no
31,m,99298,80431.38,Rank 1,11,yes
43,m,78134,61725.86,Rank 3,23,yes
21,m,43165,28920.55,Rank 3,1,no
45,m,71040,36940.8,Rank 1,25,yes
39,m,36467,30996.95,Rank 2,19,yes
60,f,141234,83328.06,Rank 1,40,yes
38,f,77083,54728.93,Rank 2,18,yes
53,f,109803,59293.62,Rank 3,33,no
60,m,94888,66421.6,Rank 2,40,no
62,f,124989,79992.96,Rank 3,42,no
43,f,52274,48614.82,Rank 1,23,no
57,m,98113,53962.15,Rank 1,37,yes
28,f,79860,55103.4,Rank 3,8,yes
53,m,42663,24317.91,Rank 1,33,yes
53,m,59603,37549.89,Rank 3,33,no
41,m,61392,36221.28,Rank 2,21,yes
54,m,114026,99202.62,Rank 2,34,no
33,m,81216,52790.4,Rank 3,13,yes
30,m,76560,62779.2,Rank 3,10,yes
47,m,138430,81673.7,Rank 2,27,no
53,f,64513,46449.36,Rank 2,33,no
33,m,82165,68196.95,Rank 3,13,yes
42,f,57921,53287.32,Rank 1,22,no
34,m,59071,59071,Rank 3,14,no
51,f,113654,87513.58,Rank 3,31,no
41,f,63663,50293.77,Rank 2,21,yes
36,f,57840,35860.8,Rank 3,16,yes
25,f,45499,43679.04,Rank 1,5,no
26,m,30041,22831.16,Rank 2,6,yes
60,m,85600,78752,Rank 3,40,no
26,f,73278,67415.76,Rank 3,6,yes
49,f,107257,101894.15,Rank 3,29,no
62,m,121807,108408.23,Rank 3,42,no
38,f,29168,20125.92,Rank 2,18,yes
47,m,38094,24380.16,Rank 2,27,no
21,m,15508,14422.44,Rank 2,1,no
41,f,86480,59671.2,Rank 3,21,yes
57,m,104836,104836,Rank 2,37,no
51,m,125612,90440.64,Rank 3,31,no
24,m,33446,33111.54,Rank 1,4,no
33,f,40927,30695.25,Rank 3,13,yes
23,m,31078,26105.52,Rank 3,3,no
47,f,112213,59472.89,Rank 1,27,yes
37,m,77304,57978,Rank 3,17,yes
64,f,143342,108939.92,Rank 3,44,no
33,m,85946,84227.08,Rank 1,13,no
42,m,88880,81769.6,Rank 2,22,yes
46,f,88391,83971.45,Rank 3,26,no
55,f,90267,78532.29,Rank 2,35,no
47,f,62205,39811.2,Rank 2,27,no
30,f,64929,37658.82,Rank 2,10,yes
32,f,65948,48142.04,Rank 1,12,yes
35,m,64195,53923.8,Rank 2,15,yes
54,f,87562,64795.88,Rank 2,34,no
44,f,63026,37815.6,Rank 3,24,yes
55,m,66078,62113.32,Rank 1,35,no
22,f,20490,15572.4,Rank 3,2,no
33,f,92552,50903.6,Rank 2,13,yes
30,f,93591,66449.61,Rank 3,10,yes
45,m,77777,59110.52,Rank 2,25,yes
28,m,75427,58833.06,Rank 2,8,yes
51,m,64106,50643.74,Rank 3,31,no
24,m,15269,13894.79,Rank 1,4,no
41,m,46863,31866.84,Rank 1,21,yes
23,m,22741,19557.26,Rank 1,3,no
27,f,34405,30964.5,Rank 2,7,no
50,m,103842,56074.68,Rank 3,30,no
24,f,36015,28812,Rank 1,4,no
45,f,128725,82384,Rank 2,25,yes
55,f,85676,49692.08,Rank 1,35,yes
37,m,83381,82547.19,Rank 2,17,no
55,f,47280,26004,Rank 2,35,no
27,f,55283,48649.04,Rank 1,7,yes
36,f,88815,84374.25,Rank 2,16,no
34,m,59915,56320.1,Rank 2,14,no
30,m,49689,40744.98,Rank 2,10,yes
48,f,106537,75641.27,Rank 3,28,no
25,m,26782,15265.74,Rank 1,5,yes
30,f,43317,24690.69,Rank 3,10,yes
27,f,93484,52351.04,Rank 2,7,yes
50,m,63597,61053.12,Rank 2,30,no
52,f,69915,53135.4,Rank 2,32,no
25,f,77108,51662.36,Rank 3,5,no
50,f,57006,55295.82,Rank 3,30,no
57,m,74218,66054.02,Rank 2,37,no
21,m,18143,17961.57,Rank 3,1,no
24,f,49427,24713.5,Rank 1,4,yes
53,f,43685,36695.4,Rank 1,33,yes
46,m,65639,52511.2,Rank 1,26,yes
44,f,94791,90051.45,Rank 3,24,no
28,m,63073,34690.15,Rank 1,8,yes
33,f,27791,16396.69,Rank 3,13,yes
21,m,49439,46967.05,Rank 2,1,no
32,m,53476,34759.4,Rank 1,12,yes
49,m,148079,116982.41,Rank 2,29,no
34,m,56654,41923.96,Rank 2,14,yes
63,f,89227,64243.44,Rank 3,43,no
38,m,71202,62657.76,Rank 3,18,yes
35,f,95961,49899.72,Rank 3,15,yes
54,f,147483,143058.51,Rank 2,34,no
62,f,36228,32967.48,Rank 2,42,no
21,f,28540,22832,Rank 1,1,no
51,f,59761,36454.21,Rank 2,31,no
61,f,114385,105234.2,Rank 1,41,yes
45,f,63633,34998.15,Rank 1,25,yes
34,m,49641,47158.95,Rank 2,14,no
49,f,112478,104604.54,Rank 2,29,no
20,f,49047,30409.14,Rank 3,0,no
57,m,49635,34744.5,Rank 1,37,yes
37,m,43184,38865.6,Rank 1,17,no
65,f,60254,35549.86,Rank 1,45,yes
61,m,36636,31140.6,Rank 1,41,yes
